Item #,Ref Des,Qty [individual part],Cost per unit,Manufacturer,Mfg part #,Description/Value,Package,Type,Notes,Website URL
1,C1,1,0.28,Yageo,CC0805JKX7R7BB334,0.33uF,0805 (2012 Metric),SMD,,https://www.digikey.com/product-detail/en/yageo/CC0805JKX7R7BB334/311-4215-1-ND/8025304
2,C2,1,0.15,Yageo,CC0805JRX7R9BB103,0.01uF,0805 (2012 Metric),SMD,,https://www.digikey.com/product-detail/en/yageo/CC0805JRX7R9BB103/311-1857-1-ND/5195759
3,"C8,C15,C22,C29",4,0.17,Yageo,CC0805KKX7R8BB105,1uF,0805 (2012 Metric),SMD,,https://www.digikey.com/product-detail/en/yageo/CC0805KKX7R8BB105/311-1456-1-ND/2833762
4,"C11,C18,C25,C32",4,0.48,AVX Corp,F930J106KAA,10uF Tantalum,1206 (3216 Metric),SMD,,https://www.digikey.com/product-detail/en/avx-corporation/F930J106KAA/478-8150-1-ND/4005708
5,"C3,C4,C5,C6,C7,C9,C10,C12,C13,C14,C16,C17,C19,C20,C21,C23,C24,C26,C27,C28,C30,C31,C33",23,0.087,Yageo,CC0805KRX7R9BB104,0.1uF,0805 (2012 Metric),SMD,,https://www.digikey.com/product-detail/en/yageo/CC0805KRX7R9BB104/311-1140-1-ND/303050
6,"L1,L2,L3,L4",4,0.11,TDK Corp,MMZ2012Y152BTD25,Ferrite Bead 1.5k?,0805 (2012 Metric),SMD,,https://www.digikey.com/product-detail/en/tdk-corporation/MMZ2012Y152BTD25/445-172871-1-ND/5040502
7,R1,1,0.1,Yageo,RC0805FR-071K05L,1.05k,0805 (2012 Metric),SMD,,https://www.digikey.com/product-detail/en/yageo/RC0805FR-071K05L/311-1.05KCRCT-ND/730397
8,R2,1,0.1,Yageo,RT0805FRE071KL,1k,0805 (2012 Metric),SMD,,https://www.digikey.com/product-detail/en/yageo/RT0805FRE071KL/YAG1240CT-ND/4340593
9,"R10,R14,R18,R22",4,0.14,Yageo,RT0805DRE0710KL,10k,0805 (2012 Metric),SMD,,https://www.digikey.com/product-detail/en/yageo/RT0805DRE0710KL/YAG3358CT-ND/5418063
10,"R7,R8,R9,R11,R12,R13,R15,R16,R17,R19,R20,R21",12,0.127,Yageo,RT0805DRE07100KL,100k,0805 (2012 Metric),SMD,,https://www.digikey.com/product-detail/en/yageo/RT0805DRE07100KL/311-2774-1-ND/6129193
11,J1,1,3.98,Kycon,K202XHT-E9S-N,DB9 Serial Connector Female,K202XHT-E9S-N,SMD/THM,,https://www.digikey.com/product-detail/en/kycon-inc/K202XHT-E9S-N/2092-K202XHT-E9S-N-ND/9990214
12,J2,1,2.46,Molex,901220128,Connector Header Right Angle 16 pos,901220128,THM,,https://www.digikey.com/product-detail/en/molex/0901220128/WM50029-16-ND/6134760
13,IC1,1,7.64,Analog Devices,ADR440ARMZ,V Ref IC,MSOP-8,SMD,,https://www.digikey.com/product-detail/en/analog-devices-inc/ADR440ARMZ/ADR440ARMZ-ND/1218274
14,IC14,1,0.69,Texas Instruments,LM78L05ACMX/NOPB,LM78L05 Linear Regulator,SOIC-8,SMD,,https://www.digikey.com/product-detail/en/texas-instruments/LM78L05ACMX-NOPB/LM78L05ACMX-NOPBCT-ND/1010547
15,IC15,1,6.35,Texas Instruments,ADS1115IDGST,16-bit ADC,VSSOP-10,SMD,,https://www.digikey.com/product-detail/en/texas-instruments/ADS1115IDGST/296-24934-1-ND/2123298
16,"IC2,IC5,IC8,IC11",4,2.73,Analog Devices,AD8276ARMZ-RL,Differential Op Amp,MSOP-8,SMD,,https://www.digikey.com/product-detail/en/analog-devices-inc/AD8276ARMZ-RL/AD8276ARMZ-RLCT-ND/4908570
17,"IC3,IC6,IC9,IC12",4,2.73,Analog Devices,AD8603AUJZ-R2,Op Amp,TSOT-23-5,SMD,,https://www.digikey.com/product-detail/en/analog-devices-inc/AD8603AUJZ-R2/AD8603AUJZ-R2CT-ND/820421
18,"IC4,IC7,IC10,IC13",4,2.7,Analog Devices,AD8237ARMZ,Instrumentation Amplifier,MSOP-8,SMD,,https://www.digikey.com/product-detail/en/analog-devices-inc/AD8237ARMZ/AD8237ARMZ-ND/3602811
