time	V(0.368vcc)	V(50mv)	V(outa)	V(outb)	V(rc)	V(sig)	I(Vcc)
0.000000000000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000
9.999999717180685e-010	7.153230e-005	6.351753e-005	7.375211e-005	7.373465e-005	3.092197e-011	3.044662e-010	-1.868769e-007
1.999999943436137e-009	1.409977e-004	1.205539e-004	1.471474e-004	1.470877e-004	6.245397e-011	6.118775e-010	-2.516024e-007
3.999999886872274e-009	2.723780e-004	2.124001e-004	2.926125e-004	2.923048e-004	1.280569e-010	1.238962e-009	-2.580130e-007
7.999999773744548e-009	5.114796e-004	3.349865e-004	5.783712e-004	5.764966e-004	2.696741e-010	2.543531e-009	-2.683169e-007
1.599999954748910e-008	9.303877e-004	4.581767e-004	1.129634e-003	1.118870e-003	5.935857e-010	5.351022e-009	-2.846163e-007
3.199999909497819e-008	1.654779e-003	5.540986e-004	2.157298e-003	2.105309e-003	1.389435e-009	1.170058e-008	-3.110400e-007
6.399999818995639e-008	2.920095e-003	6.456651e-004	3.978047e-003	3.780632e-003	3.434741e-009	2.670924e-008	-3.567679e-007
1.145339822673086e-007	4.673921e-003	7.717847e-004	6.375169e-003	5.868443e-003	7.569628e-009	5.514526e-008	-4.212622e-007
1.807937662115162e-007	6.676785e-003	9.380575e-004	8.849579e-003	7.913662e-003	1.424863e-008	9.911130e-008	-4.967216e-007
2.545596660125078e-007	8.612745e-003	1.122963e-003	1.092630e-002	9.589085e-003	2.300342e-008	1.549406e-007	-5.721863e-007
3.424182249679871e-007	1.062012e-002	1.343293e-003	1.274421e-002	1.109426e-002	3.486667e-008	2.282870e-007	-6.544147e-007
4.551589472584699e-007	1.285435e-002	1.625952e-003	1.445127e-002	1.261760e-002	5.186398e-008	3.293309e-007	-7.529088e-007
6.102149485183606e-007	1.556511e-002	2.014720e-003	1.627409e-002	1.438357e-002	7.721292e-008	4.745459e-007	-8.824030e-007
6.609036483721979e-007	1.648016e-002	2.141844e-003	1.744087e-002	1.551607e-002	8.608770e-008	5.237319e-007	-1.023205e-006
6.925723189636876e-007	1.738603e-002	2.221243e-003	2.020948e-002	1.812365e-002	9.215770e-008	5.565046e-007	-1.398431e-006
