time	V(pos)	I(Iexample)
0.000000000000000e+000	0.000000e+000	0.000000e+000
1.000000000000000e-008	8.057318e-010	8.000000e-011
1.001000000000000e-008	8.057033e-010	8.008000e-011
1.011000000000000e-008	8.054252e-010	8.088000e-011
1.012000000000000e-008	8.053982e-010	8.096000e-011
6.220098004114362e-004	8.000000e-010	4.976078e-006
6.239629254114362e-004	9.960996e-005	4.991703e-006
6.239668404504987e-004	1.330714e-004	4.991735e-006
6.239746705286237e-004	1.995599e-004	4.991797e-006
6.239760616174009e-004	1.996209e-004	4.991809e-006
6.239768176150680e-004	1.994706e-004	4.991814e-006
6.239770685510486e-004	1.997241e-004	4.991817e-006
6.239771716705321e-004	1.998755e-004	4.991817e-006
6.239772283858508e-004	1.991125e-004	4.991818e-006
6.239772482255196e-004	1.987342e-004	4.991818e-006
6.239772662616824e-004	1.987869e-004	4.991818e-006
6.239772779351607e-004	1.991039e-004	4.991818e-006
6.239772937310421e-004	1.997110e-004	4.991819e-006
6.239773087301050e-004	2.002223e-004	4.991819e-006
6.239773208014780e-004	2.004625e-004	4.991819e-006
6.239773310526023e-004	2.004744e-004	4.991819e-006
6.239773417746597e-004	2.002955e-004	4.991819e-006
6.239773533912433e-004	1.999442e-004	4.991819e-006
6.239773659237088e-004	1.994888e-004	4.991819e-006
6.239773795152409e-004	1.990435e-004	4.991819e-006
6.239773914315749e-004	1.988050e-004	4.991819e-006
6.239774029159367e-004	1.987884e-004	4.991819e-006
6.239774159718948e-004	1.990115e-004	4.991819e-006
6.239774301896146e-004	1.994327e-004	4.991819e-006
6.239774461164609e-004	1.999028e-004	4.991819e-006
6.239774683087150e-004	2.002918e-004	4.991820e-006
6.239774815110485e-004	2.002754e-004	4.991820e-006
6.239774926365642e-004	2.000607e-004	4.991820e-006
6.239775054284073e-004	1.996892e-004	4.991820e-006
6.239775188153825e-004	1.993080e-004	4.991820e-006
6.239775379695490e-004	1.989588e-004	4.991820e-006
6.239775520473856e-004	1.989470e-004	4.991820e-006
6.239775657731411e-004	1.991795e-004	4.991820e-006
6.239775813334898e-004	1.995879e-004	4.991821e-006
6.239775982280390e-004	2.000047e-004	4.991821e-006
6.239776129026300e-004	2.002120e-004	4.991821e-006
6.239776244001150e-004	2.002021e-004	4.991821e-006
6.239776363453669e-004	2.000229e-004	4.991821e-006
6.239776514475228e-004	1.996630e-004	4.991821e-006
6.239776653274343e-004	1.993383e-004	4.991821e-006
6.239776860869867e-004	1.990488e-004	4.991822e-006
6.239777009069942e-004	1.990741e-004	4.991822e-006
6.239777154856993e-004	1.993167e-004	4.991822e-006
6.239777319282108e-004	1.996856e-004	4.991822e-006
6.239777507782574e-004	2.000385e-004	4.991822e-006
6.239777632690858e-004	2.001348e-004	4.991822e-006
6.239777752896898e-004	2.000654e-004	4.991822e-006
6.239777887801181e-004	1.998440e-004	4.991822e-006
6.239778042150871e-004	1.995165e-004	4.991823e-006
6.239778208581738e-004	1.992123e-004	4.991823e-006
6.239778346269618e-004	1.990977e-004	4.991823e-006
6.239778480389298e-004	1.991627e-004	4.991823e-006
6.239778639508069e-004	1.994086e-004	4.991823e-006
6.239778809058077e-004	1.997205e-004	4.991823e-006
6.239779027324270e-004	2.000137e-004	4.991823e-006
6.239779147618385e-004	2.000434e-004	4.991824e-006
6.239779275585794e-004	1.999224e-004	4.991824e-006
6.239779430897108e-004	1.996642e-004	4.991824e-006
6.239779594409551e-004	1.993978e-004	4.991824e-006
6.239779825005408e-004	1.992037e-004	4.991824e-006
6.239779991218125e-004	1.992684e-004	4.991824e-006
6.239780157605452e-004	1.995011e-004	4.991824e-006
6.239780341591319e-004	1.997701e-004	4.991824e-006
6.239780587060014e-004	1.999506e-004	4.991824e-006
6.239780742214901e-004	1.998904e-004	4.991824e-006
6.239780889876124e-004	1.996973e-004	4.991825e-006
6.239781066427744e-004	1.994429e-004	4.991825e-006
6.239781278061148e-004	1.992561e-004	4.991825e-006
6.239781428045729e-004	1.992745e-004	4.991825e-006
6.239781589459210e-004	1.994442e-004	4.991825e-006
6.239781782253023e-004	1.996962e-004	4.991825e-006
6.239782009184580e-004	1.998993e-004	4.991826e-006
6.239782146854231e-004	1.999017e-004	4.991826e-006
6.239782290234772e-004	1.997775e-004	4.991826e-006
6.239782484938679e-004	1.995345e-004	4.991826e-006
6.239782674407092e-004	1.993424e-004	4.991826e-006
6.239782839255336e-004	1.992981e-004	4.991826e-006
6.239783000591509e-004	1.993967e-004	4.991826e-006
6.239783212335891e-004	1.996286e-004	4.991827e-006
6.239783415266340e-004	1.998176e-004	4.991827e-006
6.239783585422813e-004	1.998618e-004	4.991827e-006
6.239783738063393e-004	1.997784e-004	4.991827e-006
6.239783922780907e-004	1.995893e-004	4.991827e-006
6.239784119925516e-004	1.994091e-004	4.991827e-006
6.239784319148598e-004	1.993496e-004	4.991828e-006
6.239784495414574e-004	1.994355e-004	4.991828e-006
6.239784726152898e-004	1.996464e-004	4.991828e-006
6.239784937288857e-004	1.997972e-004	4.991828e-006
6.239785112042636e-004	1.998107e-004	4.991828e-006
6.239785278221154e-004	1.997114e-004	4.991828e-006
6.239785501287677e-004	1.995186e-004	4.991829e-006
6.239785717339861e-004	1.993921e-004	4.991829e-006
6.239785893853369e-004	1.994031e-004	4.991829e-006
6.239786082931088e-004	1.995258e-004	4.991829e-006
6.239786311690223e-004	1.996897e-004	4.991829e-006
6.239786592673415e-004	1.997674e-004	4.991829e-006
6.239786782743672e-004	1.996970e-004	4.991829e-006
6.239786991138262e-004	1.995455e-004	4.991829e-006
6.239787218420770e-004	1.994264e-004	4.991830e-006
6.239787406722386e-004	1.994325e-004	4.991830e-006
6.239787606956664e-004	1.995418e-004	4.991830e-006
6.239787849619088e-004	1.996824e-004	4.991830e-006
6.239788150671839e-004	1.997299e-004	4.991830e-006
6.239788362134494e-004	1.996484e-004	4.991831e-006
6.239788608376543e-004	1.995081e-004	4.991831e-006
6.239788860765999e-004	1.994467e-004	4.991831e-006
